"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Replicate","Relative_homo_cloning"
"141",0.01,0.2,0.2,41,0.0249697946033025
"142",0.01,0.2,0.2,42,0.0204792135981978
"143",0.01,0.2,0.2,43,0.0237273511647972
"144",0.01,0.2,0.2,44,0.0291766586730616
"145",0.01,0.2,0.2,45,0.0212940212940213
"146",0.01,0.2,0.2,46,0.0348475420037337
"147",0.01,0.2,0.2,47,0.0188127090301003
"148",0.01,0.2,0.2,48,0.0223128084102124
"149",0.01,0.2,0.2,49,0.0247018739352641
"150",0.01,0.2,0.2,50,0.0238486842105263
"151",0.01,0.2,0.2,51,0.0232150678931231
"152",0.01,0.2,0.2,52,0.0284911717495987
"153",0.01,0.2,0.2,53,0.0231043898340685
"154",0.01,0.2,0.2,54,0.0264428121720881
"155",0.01,0.2,0.2,55,0.0250260688216893
"156",0.01,0.2,0.2,56,0.0259312615764561
"157",0.01,0.2,0.2,57,0.0303030303030303
"158",0.01,0.2,0.2,58,0.0215099114297765
"159",0.01,0.2,0.2,59,0.0185222468290719
"160",0.01,0.2,0.2,60,0.0193847450484619
"161",0.01,0.2,0.2,61,0.0254506892895016
"162",0.01,0.2,0.2,62,0.0243433696348495
"163",0.01,0.2,0.2,63,0.0271317829457364
"164",0.01,0.2,0.2,64,0.0283409635927622
"165",0.01,0.2,0.2,65,0.0309041553560242
"166",0.01,0.2,0.2,66,0.0244829041789785
"167",0.01,0.2,0.2,67,0.0205536912751678
"168",0.01,0.2,0.2,68,0.0252808988764045
"169",0.01,0.2,0.2,69,0.0282040647034426
"170",0.01,0.2,0.2,70,0.022741116751269
"171",0.01,0.2,0.2,71,0.0240137221269297
"172",0.01,0.2,0.2,72,0.0274089935760171
"173",0.01,0.2,0.2,73,0.0285654274312119
"174",0.01,0.2,0.2,74,0.0250158999364003
"175",0.01,0.2,0.2,75,0.0207847295864263
"176",0.01,0.2,0.2,76,0.036456125476897
"177",0.01,0.2,0.2,77,0.0221135445460344
"178",0.01,0.2,0.2,78,0.031732948691531
"179",0.01,0.2,0.2,79,0.0199533007853959
"180",0.01,0.2,0.2,80,0.0225187656380317
"181",0.01,0.2,0.2,81,0.0386987029555603
"182",0.01,0.2,0.2,82,0.0243464378367591
"183",0.01,0.2,0.2,83,0.0256253813300793
"184",0.01,0.2,0.2,84,0.0166700548892051
"185",0.01,0.2,0.2,85,0.0314465408805031
"186",0.01,0.2,0.2,86,0.0269485903814262
"187",0.01,0.2,0.2,87,0.0212548538728796
"188",0.01,0.2,0.2,88,0.0271243907607544
"189",0.01,0.2,0.2,89,0.0340661517132105
"190",0.01,0.2,0.2,90,0.0221653878942881
"191",0.01,0.2,0.2,91,0.020253164556962
"192",0.01,0.2,0.2,92,0.0226617222908941
"193",0.01,0.2,0.2,93,0.0310647864295933
"194",0.01,0.2,0.2,94,0.0266323024054983
"195",0.01,0.2,0.2,95,0.0232028174849803
"196",0.01,0.2,0.2,96,0.0180217079664141
"197",0.01,0.2,0.2,97,0.0211930926216641
"198",0.01,0.2,0.2,98,0.0226777147841256
"199",0.01,0.2,0.2,99,0.0177312109611122
"200",0.01,0.2,0.2,100,0.0232896652110626
"201",0.01,0.2,0.4,1,0.0170247263883259
"202",0.01,0.2,0.4,2,0.0212853049529267
"203",0.01,0.2,0.4,3,0.0195833333333333
"204",0.01,0.2,0.4,4,0.0233729599032843
"205",0.01,0.2,0.4,5,0.0318591490253616
"206",0.01,0.2,0.4,6,0.0207209151737535
"207",0.01,0.2,0.4,7,0.0240673886883273
"208",0.01,0.2,0.4,8,0.033982594280978
"209",0.01,0.2,0.4,9,0.0239570425444031
"210",0.01,0.2,0.4,10,0.0293994120117598
"211",0.01,0.2,0.4,11,0.0231871838111298
"212",0.01,0.2,0.4,12,0.0232993551071354
"213",0.01,0.2,0.4,13,0.0265710670603121
"214",0.01,0.2,0.4,14,0.0253007051016176
"215",0.01,0.2,0.4,15,0.0281991027558214
"216",0.01,0.2,0.4,16,0.0247269730063878
"217",0.01,0.2,0.4,17,0.0222689075630252
"218",0.01,0.2,0.4,18,0.0219690805532954
"219",0.01,0.2,0.4,19,0.0201978565539984
"220",0.01,0.2,0.4,20,0.0260983036102653
"221",0.01,0.2,0.4,21,0.0289855072463768
