"","g2","CI_lower","CI_upper","Rate","Rep"
"173",-9.79511217136242e-07,-1.32181591555591e-06,-5.4169991427766e-07,0.99,"Replicate33"
"174",0.014248679466254,-6.80041528525188e-07,0.052067689657133,0.99,"Replicate32"
"175",-4.0533296163936e-07,-8.61223719963999e-07,1.41188699004368e-07,0.99,"Replicate31"
"176",-6.29205121782661e-07,-8.82848550104454e-07,-2.85089827412044e-07,0.99,"Replicate30"
"177",0.00129795601933158,-5.06715913453637e-07,0.00502530018134766,0.99,"Replicate3"
"178",0.0169705022225177,-2.26116862232784e-06,0.0526840937781647,0.99,"Replicate29"
"179",2.26486911891755e-07,-8.45005940386389e-08,6.98301943546919e-07,0.99,"Replicate28"
"180",-8.06523775431778e-07,-1.10655696673179e-06,-4.54746550254681e-07,0.99,"Replicate27"
"181",-5.43059631818998e-07,-7.76657240822432e-07,-2.73764392416664e-07,0.99,"Replicate26"
"182",-1.11835556504403e-06,-1.45126238857152e-06,-8.41026270420597e-07,0.99,"Replicate25"
"183",0.0140764122120012,-1.04318229558753e-06,0.0358419950990148,0.99,"Replicate24"
"184",-9.05166861353557e-07,-1.09999451034237e-06,-6.47630032793445e-07,0.99,"Replicate23"
"185",0.0132461991054689,-1.50351025948459e-06,0.0341335778496626,0.99,"Replicate22"
"186",8.58793686473458e-05,-1.26681565778275e-06,0.000251304742364206,0.99,"Replicate21"
"187",9.05792315530896e-06,-1.0211336021082e-06,2.79812756133257e-05,0.99,"Replicate20"
"188",-6.40076080693497e-07,-8.97805935728968e-07,-2.45780715688038e-07,0.99,"Replicate2"
"189",0.00104151332884439,-8.95301375278268e-07,0.00305747609133093,0.99,"Replicate19"
"190",-1.03465271905634e-07,-6.61394540046878e-07,4.47460608932193e-07,0.99,"Replicate18"
"191",8.87939508809055e-07,5.54920985162966e-07,1.23067804680965e-06,0.99,"Replicate17"
"192",-7.78471643814171e-08,-5.5886968398644e-07,2.31832664632225e-07,0.99,"Replicate16"
"193",2.31335508305008e-07,-1.53324184995473e-07,6.40850262290104e-07,0.99,"Replicate15"
"194",0.00486901921965055,-4.19906540574666e-07,0.0171253512039065,0.99,"Replicate14"
"195",0.00679068480188594,-7.60464103660707e-07,0.0205019556918677,0.99,"Replicate13"
"196",2.7756293308201e-07,-2.58248776002778e-08,6.06783093554108e-07,0.99,"Replicate12"
"197",0.00191150920073335,-2.43579075631661e-07,0.00655811009117743,0.99,"Replicate11"
"198",-8.65114363701736e-07,-1.17748918476435e-06,-3.86758589485114e-07,0.99,"Replicate100"
"199",-4.90015234277941e-07,-8.88106929386456e-07,-7.68020917252255e-08,0.99,"Replicate10"
