"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Replicate","N_seg_homo_genotypes_selfing"
"308",0.01,0.2,0.6,8,450
"309",0.01,0.2,0.6,9,446
"310",0.01,0.2,0.6,10,529
"311",0.01,0.2,0.6,11,510
"312",0.01,0.2,0.6,12,374
"313",0.01,0.2,0.6,13,425
"314",0.01,0.2,0.6,14,327
"315",0.01,0.2,0.6,15,354
"316",0.01,0.2,0.6,16,391
"317",0.01,0.2,0.6,17,328
"318",0.01,0.2,0.6,18,479
"319",0.01,0.2,0.6,19,478
"320",0.01,0.2,0.6,20,456
"321",0.01,0.2,0.6,21,427
"322",0.01,0.2,0.6,22,469
"323",0.01,0.2,0.6,23,481
"324",0.01,0.2,0.6,24,463
"325",0.01,0.2,0.6,25,486
"326",0.01,0.2,0.6,26,413
"327",0.01,0.2,0.6,27,471
"328",0.01,0.2,0.6,28,343
"329",0.01,0.2,0.6,29,412
"330",0.01,0.2,0.6,30,413
"331",0.01,0.2,0.6,31,396
"332",0.01,0.2,0.6,32,401
"333",0.01,0.2,0.6,33,409
"334",0.01,0.2,0.6,34,453
"335",0.01,0.2,0.6,35,449
"336",0.01,0.2,0.6,36,467
"337",0.01,0.2,0.6,37,497
"338",0.01,0.2,0.6,38,401
"339",0.01,0.2,0.6,39,335
"340",0.01,0.2,0.6,40,411
"341",0.01,0.2,0.6,41,477
"342",0.01,0.2,0.6,42,417
"343",0.01,0.2,0.6,43,496
"344",0.01,0.2,0.6,44,414
"345",0.01,0.2,0.6,45,544
"346",0.01,0.2,0.6,46,435
"347",0.01,0.2,0.6,47,344
"348",0.01,0.2,0.6,48,481
"349",0.01,0.2,0.6,49,388
"350",0.01,0.2,0.6,50,414
"351",0.01,0.2,0.6,51,414
"352",0.01,0.2,0.6,52,339
"353",0.01,0.2,0.6,53,458
"354",0.01,0.2,0.6,54,507
"355",0.01,0.2,0.6,55,408
"356",0.01,0.2,0.6,56,363
"357",0.01,0.2,0.6,57,436
"358",0.01,0.2,0.6,58,341
"359",0.01,0.2,0.6,59,516
"360",0.01,0.2,0.6,60,338
"361",0.01,0.2,0.6,61,437
"362",0.01,0.2,0.6,62,355
"363",0.01,0.2,0.6,63,431
"364",0.01,0.2,0.6,64,290
"365",0.01,0.2,0.6,65,325
"366",0.01,0.2,0.6,66,416
"367",0.01,0.2,0.6,67,443
"368",0.01,0.2,0.6,68,458
"369",0.01,0.2,0.6,69,478
"370",0.01,0.2,0.6,70,503
"371",0.01,0.2,0.6,71,375
"372",0.01,0.2,0.6,72,416
"373",0.01,0.2,0.6,73,367
"374",0.01,0.2,0.6,74,448
"375",0.01,0.2,0.6,75,397
"376",0.01,0.2,0.6,76,423
"377",0.01,0.2,0.6,77,493
"378",0.01,0.2,0.6,78,439
"379",0.01,0.2,0.6,79,432
"380",0.01,0.2,0.6,80,436
"381",0.01,0.2,0.6,81,369
"382",0.01,0.2,0.6,82,367
"383",0.01,0.2,0.6,83,504
"384",0.01,0.2,0.6,84,459
"385",0.01,0.2,0.6,85,468
"386",0.01,0.2,0.6,86,352
"387",0.01,0.2,0.6,87,346
"388",0.01,0.2,0.6,88,382
"389",0.01,0.2,0.6,89,556
"390",0.01,0.2,0.6,90,456
"391",0.01,0.2,0.6,91,462
"392",0.01,0.2,0.6,92,361
"393",0.01,0.2,0.6,93,495
"394",0.01,0.2,0.6,94,373
"395",0.01,0.2,0.6,95,463
"396",0.01,0.2,0.6,96,360
"397",0.01,0.2,0.6,97,400
"398",0.01,0.2,0.6,98,371
"399",0.01,0.2,0.6,99,485
"400",0.01,0.2,0.6,100,368
"401",0.01,0.2,0.8,1,472
"402",0.01,0.2,0.8,2,514
"403",0.01,0.2,0.8,3,445
"404",0.01,0.2,0.8,4,493
"405",0.01,0.2,0.8,5,415
"406",0.01,0.2,0.8,6,466
"407",0.01,0.2,0.8,7,560
"408",0.01,0.2,0.8,8,598
"409",0.01,0.2,0.8,9,511
"410",0.01,0.2,0.8,10,561
"411",0.01,0.2,0.8,11,433
"412",0.01,0.2,0.8,12,437
"413",0.01,0.2,0.8,13,518
"414",0.01,0.2,0.8,14,522
"415",0.01,0.2,0.8,15,563
"416",0.01,0.2,0.8,16,512
"417",0.01,0.2,0.8,17,558
"418",0.01,0.2,0.8,18,519
"419",0.01,0.2,0.8,19,476
"420",0.01,0.2,0.8,20,403
"421",0.01,0.2,0.8,21,456
"422",0.01,0.2,0.8,22,413
"423",0.01,0.2,0.8,23,527
