"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Replicate","Relative_homo_selfing"
"255",0.01,0.2,0.4,55,0.265274555297757
"256",0.01,0.2,0.4,56,0.173120728929385
"257",0.01,0.2,0.4,57,0.28391167192429
"258",0.01,0.2,0.4,58,0.212040893600909
"259",0.01,0.2,0.4,59,0.326386435888379
"260",0.01,0.2,0.4,60,0.280137772675086
"261",0.01,0.2,0.4,61,0.348407392843099
"262",0.01,0.2,0.4,62,0.202821197102554
"263",0.01,0.2,0.4,63,0.227240143369176
"264",0.01,0.2,0.4,64,0.188183807439825
"265",0.01,0.2,0.4,65,0.24263839811543
"266",0.01,0.2,0.4,66,0.33359133126935
"267",0.01,0.2,0.4,67,0.300374531835206
"268",0.01,0.2,0.4,68,0.221205186880244
"269",0.01,0.2,0.4,69,0.259435690729205
"270",0.01,0.2,0.4,70,0.216921356690272
"271",0.01,0.2,0.4,71,0.264705882352941
"272",0.01,0.2,0.4,72,0.197718631178707
"273",0.01,0.2,0.4,73,0.210943695479778
"274",0.01,0.2,0.4,74,0.225319396051103
"275",0.01,0.2,0.4,75,0.331743119266055
"276",0.01,0.2,0.4,76,0.260804208944006
"277",0.01,0.2,0.4,77,0.174801362088536
"278",0.01,0.2,0.4,78,0.226744186046512
"279",0.01,0.2,0.4,79,0.19426523297491
"280",0.01,0.2,0.4,80,0.3091962346126
"281",0.01,0.2,0.4,81,0.36734693877551
"282",0.01,0.2,0.4,82,0.284202569916856
"283",0.01,0.2,0.4,83,0.24191063174114
"284",0.01,0.2,0.4,84,0.264694433631763
"285",0.01,0.2,0.4,85,0.197284345047923
"286",0.01,0.2,0.4,86,0.162544169611307
"287",0.01,0.2,0.4,87,0.31265306122449
"288",0.01,0.2,0.4,88,0.244518766257897
"289",0.01,0.2,0.4,89,0.284966342557966
"290",0.01,0.2,0.4,90,0.293577981651376
"291",0.01,0.2,0.4,91,0.17040029379361
"292",0.01,0.2,0.4,92,0.167996959331053
"293",0.01,0.2,0.4,93,0.200800291014915
"294",0.01,0.2,0.4,94,0.305033809166041
"295",0.01,0.2,0.4,95,0.270249520153551
"296",0.01,0.2,0.4,96,0.16502808988764
"297",0.01,0.2,0.4,97,0.226042428675933
"298",0.01,0.2,0.4,98,0.264612954186414
"299",0.01,0.2,0.4,99,0.270885175968717
"300",0.01,0.2,0.4,100,0.229643527204503
"301",0.01,0.2,0.6,1,0.515939185875429
"302",0.01,0.2,0.6,2,0.328849028400598
"303",0.01,0.2,0.6,3,0.452271567126085
"304",0.01,0.2,0.6,4,0.494553376906318
"305",0.01,0.2,0.6,5,0.527472527472527
"306",0.01,0.2,0.6,6,0.358758548132562
"307",0.01,0.2,0.6,7,0.422094841063054
"308",0.01,0.2,0.6,8,0.469238790406674
"309",0.01,0.2,0.6,9,0.454406520631686
"310",0.01,0.2,0.6,10,0.513592233009709
"311",0.01,0.2,0.6,11,0.523613963039014
"312",0.01,0.2,0.6,12,0.390396659707724
"313",0.01,0.2,0.6,13,0.456989247311828
"314",0.01,0.2,0.6,14,0.353513513513514
"315",0.01,0.2,0.6,15,0.390082644628099
"316",0.01,0.2,0.6,16,0.387896825396825
"317",0.01,0.2,0.6,17,0.348750664540138
"318",0.01,0.2,0.6,18,0.504210526315789
"319",0.01,0.2,0.6,19,0.500785751702462
"320",0.01,0.2,0.6,20,0.475991649269311
"321",0.01,0.2,0.6,21,0.435936702399183
"322",0.01,0.2,0.6,22,0.481272447408928
"323",0.01,0.2,0.6,23,0.508188061278394
"324",0.01,0.2,0.6,24,0.474385245901639
"325",0.01,0.2,0.6,25,0.519230769230769
"326",0.01,0.2,0.6,26,0.431556948798328
"327",0.01,0.2,0.6,27,0.463126843657817
"328",0.01,0.2,0.6,28,0.370410367170626
"329",0.01,0.2,0.6,29,0.455500276395799
"330",0.01,0.2,0.6,30,0.424897119341564
"331",0.01,0.2,0.6,31,0.419713831478537
"332",0.01,0.2,0.6,32,0.411493073370959
"333",0.01,0.2,0.6,33,0.405753968253968
"334",0.01,0.2,0.6,34,0.469673405909798
"335",0.01,0.2,0.6,35,0.462648119526018
"336",0.01,0.2,0.6,36,0.471241170534813
"337",0.01,0.2,0.6,37,0.527881040892193
"338",0.01,0.2,0.6,38,0.394103194103194
"339",0.01,0.2,0.6,39,0.360215053763441
"340",0.01,0.2,0.6,40,0.417047184170472
"341",0.01,0.2,0.6,41,0.507446808510638
"342",0.01,0.2,0.6,42,0.414101290963257
"343",0.01,0.2,0.6,43,0.526818906001062
"344",0.01,0.2,0.6,44,0.423096576392437
"345",0.01,0.2,0.6,45,0.559670781893004
"346",0.01,0.2,0.6,46,0.431547619047619
"347",0.01,0.2,0.6,47,0.370689655172414
"348",0.01,0.2,0.6,48,0.471337579617834
"349",0.01,0.2,0.6,49,0.391129032258065
"350",0.01,0.2,0.6,50,0.420091324200913
"351",0.01,0.2,0.6,51,0.427024239298608
"352",0.01,0.2,0.6,52,0.346803069053708
"353",0.01,0.2,0.6,53,0.477829942618675
"354",0.01,0.2,0.6,54,0.533684210526316
"355",0.01,0.2,0.6,55,0.399804017638413
"356",0.01,0.2,0.6,56,0.376947040498442
"357",0.01,0.2,0.6,57,0.42495126705653
"358",0.01,0.2,0.6,58,0.351909184726522
"359",0.01,0.2,0.6,59,0.509378084896348
"360",0.01,0.2,0.6,60,0.346488980010251
"361",0.01,0.2,0.6,61,0.46989247311828
"362",0.01,0.2,0.6,62,0.368448365334717
"363",0.01,0.2,0.6,63,0.423379174852652
"364",0.01,0.2,0.6,64,0.287841191066998
"365",0.01,0.2,0.6,65,0.356164383561644
"366",0.01,0.2,0.6,66,0.458402203856749
"367",0.01,0.2,0.6,67,0.442778610694653
"368",0.01,0.2,0.6,68,0.460764587525151
"369",0.01,0.2,0.6,69,0.468397844194023
"370",0.01,0.2,0.6,70,0.458314350797267
"371",0.01,0.2,0.6,71,0.404094827586207
"372",0.01,0.2,0.6,72,0.40565577766943
"373",0.01,0.2,0.6,73,0.380113930605904
"374",0.01,0.2,0.6,74,0.472823218997361
"375",0.01,0.2,0.6,75,0.39719859929965
"376",0.01,0.2,0.6,76,0.42363545317977
"377",0.01,0.2,0.6,77,0.544450579790171
"378",0.01,0.2,0.6,78,0.460409019402202
"379",0.01,0.2,0.6,79,0.463270777479893
"380",0.01,0.2,0.6,80,0.44925296239052
"381",0.01,0.2,0.6,81,0.393180607352158
"382",0.01,0.2,0.6,82,0.375255623721881
"383",0.01,0.2,0.6,83,0.536170212765957
"384",0.01,0.2,0.6,84,0.460612142498746
"385",0.01,0.2,0.6,85,0.480986639260021
"386",0.01,0.2,0.6,86,0.360102301790281
"387",0.01,0.2,0.6,87,0.354145342886387
"388",0.01,0.2,0.6,88,0.359868111163448
"389",0.01,0.2,0.6,89,0.514100785945446
"390",0.01,0.2,0.6,90,0.481774960380349
"391",0.01,0.2,0.6,91,0.440629470672389
"392",0.01,0.2,0.6,92,0.361904761904762
"393",0.01,0.2,0.6,93,0.492537313432836
"394",0.01,0.2,0.6,94,0.363725012189176
"395",0.01,0.2,0.6,95,0.494394020288308
"396",0.01,0.2,0.6,96,0.352422907488987
"397",0.01,0.2,0.6,97,0.439077936333699
"398",0.01,0.2,0.6,98,0.366782006920415
"399",0.01,0.2,0.6,99,0.519550080342796
"400",0.01,0.2,0.6,100,0.397193739881274
"401",0.01,0.2,0.8,1,0.690058479532164
"402",0.01,0.2,0.8,2,0.686706746826987
"403",0.01,0.2,0.8,3,0.678353658536585
"404",0.01,0.2,0.8,4,0.683298683298683
"405",0.01,0.2,0.8,5,0.61119293078056
"406",0.01,0.2,0.8,6,0.628879892037787
"407",0.01,0.2,0.8,7,0.779401530967293
"408",0.01,0.2,0.8,8,0.775113415424498
"409",0.01,0.2,0.8,9,0.67682119205298
"410",0.01,0.2,0.8,10,0.704773869346734
"411",0.01,0.2,0.8,11,0.619456366237482
"412",0.01,0.2,0.8,12,0.61376404494382
"413",0.01,0.2,0.8,13,0.651572327044025
"414",0.01,0.2,0.8,14,0.711656441717791
"415",0.01,0.2,0.8,15,0.715829624920534
"416",0.01,0.2,0.8,16,0.68956228956229
"417",0.01,0.2,0.8,17,0.720930232558139
"418",0.01,0.2,0.8,18,0.677545691906005
"419",0.01,0.2,0.8,19,0.678062678062678
"420",0.01,0.2,0.8,20,0.587463556851312
"421",0.01,0.2,0.8,21,0.69618320610687
"422",0.01,0.2,0.8,22,0.584985835694051
"423",0.01,0.2,0.8,23,0.719945355191257
"424",0.01,0.2,0.8,24,0.651625746516257
"425",0.01,0.2,0.8,25,0.751705320600273
"426",0.01,0.2,0.8,26,0.75448168355417
"427",0.01,0.2,0.8,27,0.662905500705219
"428",0.01,0.2,0.8,28,0.559665038381019
"429",0.01,0.2,0.8,29,0.741836105976587
"430",0.01,0.2,0.8,30,0.606367583212735
"431",0.01,0.2,0.8,31,0.559840425531915
"432",0.01,0.2,0.8,32,0.622073578595318
