"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Replicate","N_seg_homo_genotypes_cloning"
"207",0.01,0.2,0.4,7,60
"208",0.01,0.2,0.4,8,82
"209",0.01,0.2,0.4,9,58
"210",0.01,0.2,0.4,10,70
"211",0.01,0.2,0.4,11,55
"212",0.01,0.2,0.4,12,56
"213",0.01,0.2,0.4,13,63
"214",0.01,0.2,0.4,14,61
"215",0.01,0.2,0.4,15,66
"216",0.01,0.2,0.4,16,60
"217",0.01,0.2,0.4,17,53
"218",0.01,0.2,0.4,18,54
"219",0.01,0.2,0.4,19,49
"220",0.01,0.2,0.4,20,60
"221",0.01,0.2,0.4,21,73
"222",0.01,0.2,0.4,22,79
"223",0.01,0.2,0.4,23,56
"224",0.01,0.2,0.4,24,71
"225",0.01,0.2,0.4,25,49
"226",0.01,0.2,0.4,26,56
"227",0.01,0.2,0.4,27,80
"228",0.01,0.2,0.4,28,59
"229",0.01,0.2,0.4,29,65
"230",0.01,0.2,0.4,30,62
"231",0.01,0.2,0.4,31,55
"232",0.01,0.2,0.4,32,81
"233",0.01,0.2,0.4,33,52
"234",0.01,0.2,0.4,34,82
"235",0.01,0.2,0.4,35,72
"236",0.01,0.2,0.4,36,58
"237",0.01,0.2,0.4,37,57
"238",0.01,0.2,0.4,38,61
"239",0.01,0.2,0.4,39,65
"240",0.01,0.2,0.4,40,68
"241",0.01,0.2,0.4,41,71
"242",0.01,0.2,0.4,42,79
"243",0.01,0.2,0.4,43,60
"244",0.01,0.2,0.4,44,51
"245",0.01,0.2,0.4,45,96
"246",0.01,0.2,0.4,46,84
"247",0.01,0.2,0.4,47,74
"248",0.01,0.2,0.4,48,64
"249",0.01,0.2,0.4,49,58
"250",0.01,0.2,0.4,50,58
"251",0.01,0.2,0.4,51,59
"252",0.01,0.2,0.4,52,90
"253",0.01,0.2,0.4,53,74
"254",0.01,0.2,0.4,54,56
"255",0.01,0.2,0.4,55,36
"256",0.01,0.2,0.4,56,61
"257",0.01,0.2,0.4,57,66
"258",0.01,0.2,0.4,58,58
"259",0.01,0.2,0.4,59,46
"260",0.01,0.2,0.4,60,64
