"","g2","CI_lower","CI_upper","Rate","Rep"
"195",-2.37726085816625e-07,-4.26846953927029e-07,2.01780712555385e-08,1e-10,"13"
"196",1.6315149520274e-07,-2.0786000526074e-07,5.94066467779485e-07,1e-10,"12"
"197",-5.51760505174137e-07,-8.74558415805971e-07,-1.16711241054945e-07,1e-10,"11"
"198",-8.91167545202798e-07,-1.0943259404983e-06,-5.9908245999829e-07,1e-10,"100"
"199",-2.99411541337946e-07,-5.77659530598407e-07,-7.21486851568143e-08,1e-10,"10"
"200",-3.31494976912872e-07,-7.55002769128876e-07,6.97998176035773e-08,1e-10,"1"
"201",-1.93058502517829e-08,-8.53167842698732e-07,6.86780111147644e-07,1e-09,"99"
"202",-4.24723531677884e-07,-7.41449364166646e-07,-2.56856036801036e-08,1e-09,"98"
"203",-6.02135421523542e-07,-9.50991277581803e-07,-1.95240014339016e-07,1e-09,"97"
"204",-1.95354847942752e-06,-2.37849499737652e-06,-1.18812742946617e-06,1e-09,"96"
"205",-2.21137007594407e-08,-3.41586995461496e-07,4.15943693710119e-07,1e-09,"95"
"206",-1.26502360997538e-06,-1.5035443405309e-06,-9.17855475843221e-07,1e-09,"94"
"207",-5.01465024171921e-07,-8.45589990550177e-07,-1.13275654317624e-07,1e-09,"93"
"208",3.31065829861643e-07,-1.44802623172624e-07,9.26298129633184e-07,1e-09,"92"
"209",-7.1458984063355e-08,-5.51327844824923e-07,4.36321001773265e-07,1e-09,"91"
"210",3.23315440420302e-07,-1.19556085453887e-07,1.06321563437262e-06,1e-09,"90"
"211",-2.84848233889079e-07,-5.53503793554455e-07,3.93312229951534e-08,1e-09,"9"
"212",-3.97194375389986e-07,-8.73992083802455e-07,7.52441348450534e-08,1e-09,"89"
"213",-6.04987866248408e-07,-1.11302689490833e-06,1.58436870950629e-07,1e-09,"88"
"214",-7.04753651548096e-07,-1.12444099296949e-06,-2.52026442684739e-07,1e-09,"87"
"215",-4.26163334732443e-07,-6.7475189954036e-07,-1.83626794569847e-07,1e-09,"86"
"216",-3.93991852476461e-08,-5.94626722194569e-07,5.41415674421008e-07,1e-09,"85"
"217",5.15026890024473e-08,-3.58132648722864e-07,5.40065597742778e-07,1e-09,"84"
"218",8.78460384434732e-08,-2.48917191114639e-07,4.89902625666616e-07,1e-09,"83"
"219",-5.79103782483159e-07,-8.25589599232068e-07,-2.92916433319856e-07,1e-09,"82"
"220",-3.47683236312513e-07,-5.57160501729603e-07,-7.44953817660711e-08,1e-09,"81"
"221",7.46853046074136e-08,-4.08794683903757e-07,4.67313545260417e-07,1e-09,"80"
"222",4.25634765210958e-08,-3.50417391162261e-07,5.98402017704113e-07,1e-09,"8"
"223",1.27391571291824e-07,-4.78390464545009e-07,6.94657725797131e-07,1e-09,"79"
"224",-3.56647335109095e-07,-8.34680577374569e-07,1.6634315020414e-07,1e-09,"78"
"225",-3.96181102702009e-07,-7.2287134851301e-07,9.64801597169717e-08,1e-09,"77"
"226",-2.70797138934853e-07,-6.37562358424271e-07,7.40555411049558e-08,1e-09,"76"
"227",-2.66093449607929e-07,-7.77104702601172e-07,4.59777828931695e-07,1e-09,"75"
"228",4.93519687561061e-07,4.51441438620304e-08,1.21621056073939e-06,1e-09,"74"
"229",-6.25937145004585e-07,-1.11877401796912e-06,-1.86708916979917e-07,1e-09,"73"
"230",-2.12218186912416e-07,-8.02916931039177e-07,3.6404693452563e-07,1e-09,"72"
"231",-1.28679584876501e-07,-3.96115302411793e-07,1.34839413579168e-07,1e-09,"71"
"232",-4.43720405418624e-07,-7.03698820631038e-07,-1.43820332099143e-07,1e-09,"70"
"233",3.88530230210904e-08,-3.03319730043938e-07,5.20534078707335e-07,1e-09,"7"
"234",4.07300249971598e-07,-3.5589267061153e-09,8.92989750811424e-07,1e-09,"69"
"235",-1.36660028959845e-07,-7.15502968945403e-07,3.98513129934441e-07,1e-09,"68"
"236",-1.81772719098916e-09,-5.20463893233236e-07,4.99388437025238e-07,1e-09,"67"
"237",-3.2348398915083e-07,-6.01312295836487e-07,3.9317787048354e-08,1e-09,"66"
"238",-5.08690689016156e-07,-9.76171011846105e-07,-5.81486407663657e-08,1e-09,"65"
"239",-1.49224731238462e-07,-5.53717496296069e-07,2.33642301916692e-07,1e-09,"64"
"240",1.33834097137964e-08,-3.41309409945811e-07,4.11168461472711e-07,1e-09,"63"
"241",-3.11108982131714e-07,-9.61320114636899e-07,3.77383678462627e-07,1e-09,"62"
"242",-9.30823220723909e-08,-4.69305525171992e-07,3.20732925640499e-07,1e-09,"61"
"243",-6.47203737269564e-08,-4.62573640250263e-07,3.78428461517144e-07,1e-09,"60"
"244",-7.69834063385488e-07,-1.29375623127148e-06,-1.5232863318504e-07,1e-09,"6"
"245",-6.35856460817763e-07,-9.27120639127032e-07,-2.47651022819429e-07,1e-09,"59"
"246",-7.19037721697013e-07,-1.03109659023437e-06,-2.95948631157117e-07,1e-09,"58"
"247",-4.68504143591453e-07,-7.91411957787313e-07,-1.51600231204641e-07,1e-09,"57"
"248",-3.89984731175019e-07,-7.05744316362167e-07,-4.00307399062163e-08,1e-09,"56"
"249",-3.54287454262803e-07,-8.70931482180315e-07,1.98628823677716e-07,1e-09,"55"
"250",4.61548537167289e-08,-7.1743767475485e-07,8.93969908011272e-07,1e-09,"54"
"251",-6.01348251305645e-07,-9.7730344509328e-07,-6.90853363960511e-09,1e-09,"53"
"252",-7.84330597358718e-07,-9.69844210380044e-07,-5.37220729204813e-07,1e-09,"52"
"253",1.58269469974215e-07,-4.25379860771735e-07,8.20417489821867e-07,1e-09,"51"
"254",1.1510049091612e-07,-3.55337637625297e-07,6.24226682371942e-07,1e-09,"50"
"255",5.66775767651961e-07,1.46901840836211e-07,9.67146215363756e-07,1e-09,"5"
"256",2.18577824728783e-08,-3.8072888744467e-07,3.7239647528442e-07,1e-09,"49"
"257",-5.47574243725535e-07,-9.38074758718987e-07,-1.07087915610094e-07,1e-09,"48"
"258",-4.78648116364333e-07,-7.50046945283134e-07,-1.0742740593761e-07,1e-09,"47"
"259",9.30955149414103e-07,1.93493589245586e-07,1.59809598607175e-06,1e-09,"46"
"260",-5.73552520255483e-07,-9.26686089425255e-07,-3.88849475452262e-08,1e-09,"45"
"261",-5.7031742317637e-07,-9.58066805614721e-07,-1.37308011616266e-07,1e-09,"44"
"262",-1.33610101538117e-07,-7.48600779201802e-07,5.88513770355403e-07,1e-09,"43"
"263",-7.45929755852082e-07,-9.04615957728061e-07,-5.18893780110386e-07,1e-09,"42"
"264",1.99903262831924e-07,-2.91030866675368e-07,7.48001511191587e-07,1e-09,"41"
"265",-7.79756434088341e-07,-1.21469013938114e-06,-2.06035713834485e-07,1e-09,"40"
"266",-9.46822930059099e-08,-4.93056948880355e-07,2.8572282488315e-07,1e-09,"4"
"267",2.27254470352989e-07,-2.08293002609827e-07,8.66665878512805e-07,1e-09,"39"
"268",-5.96296233945637e-07,-8.68693563593759e-07,-3.04639517345606e-07,1e-09,"38"
"269",-3.11456337387384e-07,-5.4529915151369e-07,5.19910068552675e-08,1e-09,"37"
"270",-5.47667993622269e-07,-8.69474383785596e-07,-8.79932053887711e-09,1e-09,"36"
"271",2.06993863827165e-07,-4.8462225403223e-07,8.0153820873341e-07,1e-09,"35"
"272",-3.7711560429976e-08,-4.37862713231762e-07,3.26632072916721e-07,1e-09,"34"
"273",-1.00104209421747e-06,-1.23274236265292e-06,-7.62140763685415e-07,1e-09,"33"
"274",-4.66763222961575e-07,-7.55473534558293e-07,-5.02318206418997e-08,1e-09,"32"
"275",-1.99806577472206e-06,-2.18902645720553e-06,-1.66995988305219e-06,1e-09,"31"
"276",5.7083284366044e-07,-3.68774048326025e-07,1.45536421732872e-06,1e-09,"30"
"277",3.72445449370318e-07,-1.20274342962911e-07,1.00901554572763e-06,1e-09,"3"
"278",6.15023743044674e-08,-3.01234905647485e-07,4.41900955172602e-07,1e-09,"29"
"279",-7.02291720111603e-07,-1.42211635698608e-06,-3.29623653899668e-08,1e-09,"28"
"280",-4.96749330558544e-08,-2.68049452017971e-07,1.63319399160144e-07,1e-09,"27"
"281",-2.08326718542651e-07,-6.88117509400898e-07,2.76765768886244e-07,1e-09,"26"
"282",-6.07754439330144e-07,-9.27812326995126e-07,-2.63501737127193e-07,1e-09,"25"
"283",-7.49448467729508e-08,-5.57083452021323e-07,5.26291273189594e-07,1e-09,"24"
"284",7.51050763803107e-07,3.01342235470295e-08,1.47212405339214e-06,1e-09,"23"
"285",1.82888208799525e-07,-3.98380661953412e-07,6.60561757048761e-07,1e-09,"22"
"286",3.98299773163302e-07,2.73959840368932e-08,8.24036126734206e-07,1e-09,"21"
"287",-7.53159148270122e-07,-1.31662609306749e-06,-1.59193831161808e-07,1e-09,"20"
"288",-6.69088092375425e-07,-1.05779673636452e-06,-2.38210106029425e-07,1e-09,"2"
