"","Selection_coefficient","Dominance_coefficient","GC_rate","Mean_tract_length","Replicate","N_seg_homo_genotypes_GC"
"247",0.01,0.2,1e-07,4000,47,1532
"248",0.01,0.2,1e-07,4000,48,986
"249",0.01,0.2,1e-07,4000,49,2062
"250",0.01,0.2,1e-07,4000,50,1500
"251",0.01,0.2,1e-07,4000,51,1286
"252",0.01,0.2,1e-07,4000,52,1000
"253",0.01,0.2,1e-07,4000,53,753
"254",0.01,0.2,1e-07,4000,54,1336
"255",0.01,0.2,1e-07,4000,55,847
"256",0.01,0.2,1e-07,4000,56,671
"257",0.01,0.2,1e-07,4000,57,730
"258",0.01,0.2,1e-07,4000,58,1675
"259",0.01,0.2,1e-07,4000,59,973
"260",0.01,0.2,1e-07,4000,60,821
"261",0.01,0.2,1e-07,4000,61,764
"262",0.01,0.2,1e-07,4000,62,922
"263",0.01,0.2,1e-07,4000,63,539
"264",0.01,0.2,1e-07,4000,64,1544
"265",0.01,0.2,1e-07,4000,65,732
"266",0.01,0.2,1e-07,4000,66,478
"267",0.01,0.2,1e-07,4000,67,1442
"268",0.01,0.2,1e-07,4000,68,826
"269",0.01,0.2,1e-07,4000,69,966
"270",0.01,0.2,1e-07,4000,70,661
"271",0.01,0.2,1e-07,4000,71,1170
"272",0.01,0.2,1e-07,4000,72,782
"273",0.01,0.2,1e-07,4000,73,1729
"274",0.01,0.2,1e-07,4000,74,736
"275",0.01,0.2,1e-07,4000,75,857
"276",0.01,0.2,1e-07,4000,76,928
"277",0.01,0.2,1e-07,4000,77,954
"278",0.01,0.2,1e-07,4000,78,1162
"279",0.01,0.2,1e-07,4000,79,876
"280",0.01,0.2,1e-07,4000,80,1796
"281",0.01,0.2,1e-07,4000,81,773
"282",0.01,0.2,1e-07,4000,82,797
"283",0.01,0.2,1e-07,4000,83,1056
"284",0.01,0.2,1e-07,4000,84,1101
"285",0.01,0.2,1e-07,4000,85,1426
"286",0.01,0.2,1e-07,4000,86,906
"287",0.01,0.2,1e-07,4000,87,1749
"288",0.01,0.2,1e-07,4000,88,705
"289",0.01,0.2,1e-07,4000,89,566
"290",0.01,0.2,1e-07,4000,90,677
"291",0.01,0.2,1e-07,4000,91,1331
"292",0.01,0.2,1e-07,4000,92,833
"293",0.01,0.2,1e-07,4000,93,1031
"294",0.01,0.2,1e-07,4000,94,838
"295",0.01,0.2,1e-07,4000,95,916
"296",0.01,0.2,1e-07,4000,96,609
"297",0.01,0.2,1e-07,4000,97,991
"298",0.01,0.2,1e-07,4000,98,571
"299",0.01,0.2,1e-07,4000,99,979
"300",0.01,0.2,1e-07,4000,100,1396
"301",0.01,0.2,1e-08,4000,1,718
"302",0.01,0.2,1e-08,4000,2,549
"303",0.01,0.2,1e-08,4000,3,459
"304",0.01,0.2,1e-08,4000,4,894
"305",0.01,0.2,1e-08,4000,5,661
"306",0.01,0.2,1e-08,4000,6,693
"307",0.01,0.2,1e-08,4000,7,458
"308",0.01,0.2,1e-08,4000,8,902
"309",0.01,0.2,1e-08,4000,9,714
"310",0.01,0.2,1e-08,4000,10,619
"311",0.01,0.2,1e-08,4000,11,477
"312",0.01,0.2,1e-08,4000,12,552
"313",0.01,0.2,1e-08,4000,13,734
"314",0.01,0.2,1e-08,4000,14,1100
"315",0.01,0.2,1e-08,4000,15,1138
"316",0.01,0.2,1e-08,4000,16,662
"317",0.01,0.2,1e-08,4000,17,558
"318",0.01,0.2,1e-08,4000,18,746
"319",0.01,0.2,1e-08,4000,19,358
"320",0.01,0.2,1e-08,4000,20,516
"321",0.01,0.2,1e-08,4000,21,299
"322",0.01,0.2,1e-08,4000,22,774
"323",0.01,0.2,1e-08,4000,23,503
"324",0.01,0.2,1e-08,4000,24,422
"325",0.01,0.2,1e-08,4000,25,894
"326",0.01,0.2,1e-08,4000,26,1083
"327",0.01,0.2,1e-08,4000,27,767
"328",0.01,0.2,1e-08,4000,28,1476
"329",0.01,0.2,1e-08,4000,29,869
"330",0.01,0.2,1e-08,4000,30,937
"331",0.01,0.2,1e-08,4000,31,544
"332",0.01,0.2,1e-08,4000,32,1087
"333",0.01,0.2,1e-08,4000,33,508
"334",0.01,0.2,1e-08,4000,34,827
"335",0.01,0.2,1e-08,4000,35,548
"336",0.01,0.2,1e-08,4000,36,524
"337",0.01,0.2,1e-08,4000,37,871
"338",0.01,0.2,1e-08,4000,38,516
"339",0.01,0.2,1e-08,4000,39,811
"340",0.01,0.2,1e-08,4000,40,1184
"341",0.01,0.2,1e-08,4000,41,569
"342",0.01,0.2,1e-08,4000,42,676
"343",0.01,0.2,1e-08,4000,43,598
"344",0.01,0.2,1e-08,4000,44,562
"345",0.01,0.2,1e-08,4000,45,730
"346",0.01,0.2,1e-08,4000,46,719
"347",0.01,0.2,1e-08,4000,47,877
"348",0.01,0.2,1e-08,4000,48,905
"349",0.01,0.2,1e-08,4000,49,733
"350",0.01,0.2,1e-08,4000,50,672
"351",0.01,0.2,1e-08,4000,51,814
"352",0.01,0.2,1e-08,4000,52,664
"353",0.01,0.2,1e-08,4000,53,851
"354",0.01,0.2,1e-08,4000,54,497
"355",0.01,0.2,1e-08,4000,55,896
"356",0.01,0.2,1e-08,4000,56,567
"357",0.01,0.2,1e-08,4000,57,859
"358",0.01,0.2,1e-08,4000,58,577
"359",0.01,0.2,1e-08,4000,59,480
"360",0.01,0.2,1e-08,4000,60,642
"361",0.01,0.2,1e-08,4000,61,556
"362",0.01,0.2,1e-08,4000,62,791
"363",0.01,0.2,1e-08,4000,63,1527
"364",0.01,0.2,1e-08,4000,64,615
"365",0.01,0.2,1e-08,4000,65,667
"366",0.01,0.2,1e-08,4000,66,889
"367",0.01,0.2,1e-08,4000,67,624
"368",0.01,0.2,1e-08,4000,68,549
"369",0.01,0.2,1e-08,4000,69,640
"370",0.01,0.2,1e-08,4000,70,926
"371",0.01,0.2,1e-08,4000,71,642
"372",0.01,0.2,1e-08,4000,72,899
"373",0.01,0.2,1e-08,4000,73,803
"374",0.01,0.2,1e-08,4000,74,684
"375",0.01,0.2,1e-08,4000,75,542
"376",0.01,0.2,1e-08,4000,76,714
"377",0.01,0.2,1e-08,4000,77,780
"378",0.01,0.2,1e-08,4000,78,613
