"","Selection_coefficient","Dominance_coefficient","GC_rate","Mean_tract_length","Replicate","N_segregating_mutations_GC"
"264",0.01,0.2,1e-07,4000,64,26286
"265",0.01,0.2,1e-07,4000,65,24255
"266",0.01,0.2,1e-07,4000,66,23640
"267",0.01,0.2,1e-07,4000,67,27308
"268",0.01,0.2,1e-07,4000,68,25196
"269",0.01,0.2,1e-07,4000,69,27855
"270",0.01,0.2,1e-07,4000,70,25354
"271",0.01,0.2,1e-07,4000,71,26231
"272",0.01,0.2,1e-07,4000,72,22037
"273",0.01,0.2,1e-07,4000,73,27908
"274",0.01,0.2,1e-07,4000,74,25528
"275",0.01,0.2,1e-07,4000,75,24061
"276",0.01,0.2,1e-07,4000,76,26120
"277",0.01,0.2,1e-07,4000,77,25611
"278",0.01,0.2,1e-07,4000,78,26858
"279",0.01,0.2,1e-07,4000,79,24980
"280",0.01,0.2,1e-07,4000,80,28148
"281",0.01,0.2,1e-07,4000,81,23737
"282",0.01,0.2,1e-07,4000,82,27024
"283",0.01,0.2,1e-07,4000,83,25732
"284",0.01,0.2,1e-07,4000,84,24653
"285",0.01,0.2,1e-07,4000,85,23651
"286",0.01,0.2,1e-07,4000,86,25792
"287",0.01,0.2,1e-07,4000,87,26885
"288",0.01,0.2,1e-07,4000,88,24498
"289",0.01,0.2,1e-07,4000,89,26301
"290",0.01,0.2,1e-07,4000,90,26368
"291",0.01,0.2,1e-07,4000,91,27015
"292",0.01,0.2,1e-07,4000,92,24719
"293",0.01,0.2,1e-07,4000,93,25088
"294",0.01,0.2,1e-07,4000,94,25379
"295",0.01,0.2,1e-07,4000,95,26260
"296",0.01,0.2,1e-07,4000,96,24226
"297",0.01,0.2,1e-07,4000,97,25432
"298",0.01,0.2,1e-07,4000,98,24796
"299",0.01,0.2,1e-07,4000,99,24760
"300",0.01,0.2,1e-07,4000,100,28082
"301",0.01,0.2,1e-08,4000,1,201021
"302",0.01,0.2,1e-08,4000,2,205835
"303",0.01,0.2,1e-08,4000,3,209559
"304",0.01,0.2,1e-08,4000,4,214376
"305",0.01,0.2,1e-08,4000,5,213164
"306",0.01,0.2,1e-08,4000,6,206511
"307",0.01,0.2,1e-08,4000,7,208944
"308",0.01,0.2,1e-08,4000,8,207495
"309",0.01,0.2,1e-08,4000,9,212328
"310",0.01,0.2,1e-08,4000,10,209955
"311",0.01,0.2,1e-08,4000,11,210373
"312",0.01,0.2,1e-08,4000,12,209829
"313",0.01,0.2,1e-08,4000,13,206326
"314",0.01,0.2,1e-08,4000,14,209344
"315",0.01,0.2,1e-08,4000,15,212252
"316",0.01,0.2,1e-08,4000,16,209246
"317",0.01,0.2,1e-08,4000,17,213053
"318",0.01,0.2,1e-08,4000,18,198791
"319",0.01,0.2,1e-08,4000,19,205269
"320",0.01,0.2,1e-08,4000,20,212105
"321",0.01,0.2,1e-08,4000,21,207152
"322",0.01,0.2,1e-08,4000,22,209366
"323",0.01,0.2,1e-08,4000,23,203950
"324",0.01,0.2,1e-08,4000,24,208676
"325",0.01,0.2,1e-08,4000,25,212791
"326",0.01,0.2,1e-08,4000,26,208047
"327",0.01,0.2,1e-08,4000,27,208888
"328",0.01,0.2,1e-08,4000,28,210464
"329",0.01,0.2,1e-08,4000,29,203634
"330",0.01,0.2,1e-08,4000,30,208049
"331",0.01,0.2,1e-08,4000,31,213083
"332",0.01,0.2,1e-08,4000,32,212078
"333",0.01,0.2,1e-08,4000,33,207889
"334",0.01,0.2,1e-08,4000,34,212684
"335",0.01,0.2,1e-08,4000,35,203444
"336",0.01,0.2,1e-08,4000,36,210183
"337",0.01,0.2,1e-08,4000,37,211208
"338",0.01,0.2,1e-08,4000,38,204975
"339",0.01,0.2,1e-08,4000,39,205262
"340",0.01,0.2,1e-08,4000,40,216247
"341",0.01,0.2,1e-08,4000,41,206918
"342",0.01,0.2,1e-08,4000,42,206132
"343",0.01,0.2,1e-08,4000,43,207923
"344",0.01,0.2,1e-08,4000,44,209478
"345",0.01,0.2,1e-08,4000,45,211523
"346",0.01,0.2,1e-08,4000,46,208814
"347",0.01,0.2,1e-08,4000,47,209770
"348",0.01,0.2,1e-08,4000,48,209751
"349",0.01,0.2,1e-08,4000,49,213095
"350",0.01,0.2,1e-08,4000,50,211442
"351",0.01,0.2,1e-08,4000,51,215843
"352",0.01,0.2,1e-08,4000,52,210183
"353",0.01,0.2,1e-08,4000,53,216256
