"","Selection_coefficient","Dominance_coefficient","GC_rate","Mean_tract_length","Replicate","Relative_homo_GC"
"142",0.01,0.2,1e-06,4000,42,0.460716670376141
"143",0.01,0.2,1e-06,4000,43,0.500103928497194
"144",0.01,0.2,1e-06,4000,44,0.460329157455171
"145",0.01,0.2,1e-06,4000,45,0.469153515064562
"146",0.01,0.2,1e-06,4000,46,0.329746835443038
"147",0.01,0.2,1e-06,4000,47,0.338993516517444
"148",0.01,0.2,1e-06,4000,48,0.311060777651944
"149",0.01,0.2,1e-06,4000,49,0.468336483931947
"150",0.01,0.2,1e-06,4000,50,0.375976299488284
"151",0.01,0.2,1e-06,4000,51,0.532954775907524
"152",0.01,0.2,1e-06,4000,52,0.497842380195321
"153",0.01,0.2,1e-06,4000,53,0.376407506702413
"154",0.01,0.2,1e-06,4000,54,0.457995289191311
"155",0.01,0.2,1e-06,4000,55,0.403423680456491
"156",0.01,0.2,1e-06,4000,56,0.337427278603749
"157",0.01,0.2,1e-06,4000,57,0.476442095992955
"158",0.01,0.2,1e-06,4000,58,0.457812898292123
"159",0.01,0.2,1e-06,4000,59,0.330148270181219
"160",0.01,0.2,1e-06,4000,60,0.427680427680428
"161",0.01,0.2,1e-06,4000,61,0.525835235526043
"162",0.01,0.2,1e-06,4000,62,0.50146750524109
"163",0.01,0.2,1e-06,4000,63,0.62850506056081
"164",0.01,0.2,1e-06,4000,64,0.389074693422519
"165",0.01,0.2,1e-06,4000,65,0.524090262248424
"166",0.01,0.2,1e-06,4000,66,0.423664122137405
"167",0.01,0.2,1e-06,4000,67,0.356559608056614
"168",0.01,0.2,1e-06,4000,68,0.581993569131833
"169",0.01,0.2,1e-06,4000,69,0.652709725315516
"170",0.01,0.2,1e-06,4000,70,0.44654871667082
"171",0.01,0.2,1e-06,4000,71,0.458791208791209
"172",0.01,0.2,1e-06,4000,72,0.451307735114079
"173",0.01,0.2,1e-06,4000,73,0.473216430458804
"174",0.01,0.2,1e-06,4000,74,0.271280276816609
"175",0.01,0.2,1e-06,4000,75,0.410562180579216
"176",0.01,0.2,1e-06,4000,76,0.437698898408813
"177",0.01,0.2,1e-06,4000,77,0.514157303370786
"178",0.01,0.2,1e-06,4000,78,0.404045643153527
"179",0.01,0.2,1e-06,4000,79,0.424523693209575
"180",0.01,0.2,1e-06,4000,80,0.409728183118741
"181",0.01,0.2,1e-06,4000,81,0.451295799821269
"182",0.01,0.2,1e-06,4000,82,0.344827586206897
"183",0.01,0.2,1e-06,4000,83,0.413958444326052
"184",0.01,0.2,1e-06,4000,84,0.491115392849497
"185",0.01,0.2,1e-06,4000,85,0.355874104082269
"186",0.01,0.2,1e-06,4000,86,0.423166472642608
"187",0.01,0.2,1e-06,4000,87,0.555510860820595
"188",0.01,0.2,1e-06,4000,88,0.646551724137931
"189",0.01,0.2,1e-06,4000,89,0.306986591390261
"190",0.01,0.2,1e-06,4000,90,0.380005234231876
"191",0.01,0.2,1e-06,4000,91,0.475728155339806
"192",0.01,0.2,1e-06,4000,92,0.435479829616637
"193",0.01,0.2,1e-06,4000,93,0.433641225085075
"194",0.01,0.2,1e-06,4000,94,0.348966874385044
"195",0.01,0.2,1e-06,4000,95,0.556429414077861
"196",0.01,0.2,1e-06,4000,96,0.348788513311397
"197",0.01,0.2,1e-06,4000,97,0.498181818181818
"198",0.01,0.2,1e-06,4000,98,0.487378155461135
"199",0.01,0.2,1e-06,4000,99,0.543473875327819
"200",0.01,0.2,1e-06,4000,100,0.388628553577007
